CNT,ST29Q01,ST29Q02,ST29Q03,ST29Q04,ST29Q05,ST29Q06,ST29Q07,ST29Q08
1,2,2,2,3,2,2,2,2
1,3,2,3,3,2,3,2,2
1,2,2,2,2,2,2,2,2
1,3,2,3,3,2,3,3,2
1,3,1,4,3,2,2,1,1
1,2,2,3,3,2,2,2,2
1,4,3,3,3,4,2,4,4
1,3,2,3,3,2,3,1,1
1,3,4,4,4,3,3,3,3
1,3,1,3,3,3,3,1,2
1,2,2,3,3,2,2,2,2
1,2,3,3,3,2,2,3,3
1,4,4,4,4,4,4,4,4
1,3,1,3,4,2,3,1,1
1,2,1,2,2,2,2,2,2
1,3,3,3,2,2,2,4,4
1,4,4,4,4,4,4,4,4
1,3,3,3,3,3,3,2,3
1,4,3,4,4,3,4,4,4
1,3,3,4,4,2,3,3,3
1,4,3,3,4,2,2,2,2
1,4,4,4,4,4,4,4,4
1,2,2,2,1,2,2,2,2
1,4,4,4,4,4,4,4,4
1,3,3,4,3,4,4,4,4
1,3,3,3,3,3,3,3,3
1,3,2,4,3,2,3,1,2
1,4,4,4,4,4,4,4,4
1,4,3,4,3,4,3,2,2
1,3,3,3,3,3,4,3,4
1,2,1,2,2,2,2,1,2
1,3,1,4,4,2,2,2,2
1,3,3,4,4,3,4,2,2
1,3,2,3,3,1,3,2,2
1,3,1,3,1,1,1,2,1
1,3,2,4,4,2,3,2,3
1,3,3,3,3,3,3,3,3
1,1,2,3,3,3,2,2,2
1,4,3,4,3,2,3,3,3
1,4,3,4,4,4,4,4,4
1,3,2,4,3,2,2,2,2
1,3,2,3,3,2,2,2,3
1,4,4,4,4,4,4,4,4
1,3,2,3,3,2,2,3,3
1,4,4,4,4,4,4,4,4
1,4,2,4,4,2,4,2,4
1,1,1,2,1,1,1,1,1
1,4,4,4,4,4,4,4,4
1,4,4,4,4,4,4,4,4
1,4,4,4,4,4,4,4,4
1,3,3,3,3,3,2,2,3
1,4,4,4,4,4,4,3,4
1,4,2,4,4,2,3,3,3
1,3,3,3,3,2,3,2,3
1,4,4,4,4,4,4,4,4
1,3,2,2,2,2,2,2,2
1,3,3,3,3,3,3,3,3
1,3,2,3,3,2,3,3,3
1,4,4,4,4,4,4,4,4
1,4,3,4,4,4,4,2,4
1,3,2,3,3,2,3,2,3
1,4,4,4,4,4,4,4,4
1,3,2,4,4,2,3,2,2
1,3,2,2,2,2,2,2,2
1,3,1,3,2,2,2,2,2
1,4,3,3,4,3,3,3,3
1,3,2,2,2,2,2,2,2
1,4,1,3,3,2,3,2,3
1,2,2,3,4,2,2,1,3
1,2,2,2,1,2,2,2,2
1,3,2,2,2,2,2,1,1
1,3,2,3,3,3,3,2,2
1,3,3,3,3,2,3,3,3
1,3,1,2,3,1,2,2,1
1,3,3,3,2,3,2,2,3
1,3,3,2,1,1,2,2,3
1,4,4,2,2,3,2,3,3
1,3,2,3,3,2,2,2,2
1,3,3,3,3,2,2,2,2
1,2,1,1,1,2,1,3,2
1,2,2,2,2,2,2,2,3
1,4,4,4,4,4,4,4,4
1,4,4,4,4,4,4,4,4
1,4,2,3,4,2,3,2,3
1,2,2,3,2,1,2,1,2
1,1,1,1,1,2,1,1,1
1,2,1,2,1,1,1,1,1
1,1,1,2,1,1,1,1,1
1,2,2,2,2,2,2,2,2
1,4,4,4,4,4,4,4,4
1,2,2,2,2,2,2,2,2
1,1,2,3,1,2,1,1,2
1,3,3,3,3,2,3,3,3
1,1,1,2,1,1,1,1,1
1,3,2,3,3,2,3,2,2
1,3,4,4,4,2,4,4,4
1,3,3,3,3,3,3,3,3
1,4,4,4,4,4,4,4,4
1,3,2,3,2,2,2,2,2
1,3,2,3,3,2,3,2,2
1,2,2,3,2,2,2,2,2
1,3,3,3,2,3,2,3,3
1,3,2,3,3,2,2,2,3
1,4,4,4,4,3,4,3,4
1,2,3,3,3,2,3,3,2
1,1,1,2,1,1,2,1,1
1,3,2,3,4,2,3,2,3
1,3,2,3,3,3,3,2,3
1,3,2,3,2,2,2,2,2
1,1,1,1,1,1,1,1,1
1,4,1,3,3,1,2,2,3
1,3,2,4,3,2,3,2,3
1,2,2,4,3,2,3,2,2
1,2,2,2,2,2,2,2,2
1,1,1,2,1,2,1,1,1
1,3,2,4,4,2,3,2,3
1,2,1,3,3,1,2,1,1
1,2,1,2,2,1,2,1,2
1,1,2,2,2,2,2,2,2
1,2,3,2,2,2,2,2,2
1,2,2,2,2,2,2,1,2
1,2,2,3,2,2,2,2,2
1,1,1,1,1,1,1,1,1
1,2,1,2,2,2,2,1,1
1,2,2,3,2,2,2,1,2
1,3,2,3,2,2,1,2,2
1,1,1,2,1,2,1,1,2
1,2,1,3,3,1,2,1,2
1,2,2,2,2,2,2,1,1
1,2,2,1,2,1,2,2,2
1,2,1,2,2,1,2,1,1
1,1,1,1,1,1,1,1,2
1,3,2,3,2,2,2,1,2
1,2,1,3,3,1,1,1,1
1,2,3,2,1,2,2,1,1
1,2,1,1,1,1,1,2,2
1,1,1,2,2,2,1,1,1
1,3,1,4,4,1,3,2,2
1,1,1,1,1,1,1,1,1
1,3,3,3,3,3,3,3,3
1,3,2,3,1,2,2,2,2
1,3,2,3,3,2,3,2,3
1,2,2,3,3,2,3,2,2
1,4,2,3,3,2,3,2,3
1,3,3,3,3,2,3,2,2
1,3,3,3,3,3,3,3,3
1,4,4,4,4,4,4,4,4
1,3,3,3,3,3,3,3,3
1,3,3,3,3,3,3,3,3
1,3,3,3,3,3,3,3,3
1,4,3,4,4,4,4,3,3
1,3,3,3,3,3,3,3,3
1,4,3,4,4,4,4,3,3
1,3,3,3,3,3,3,3,3
1,4,4,4,4,4,4,4,4
1,3,3,3,3,2,3,2,2
1,2,1,2,3,2,2,1,2
1,3,3,3,3,3,3,3,3
1,3,3,3,3,3,2,3,3
1,4,4,4,4,4,4,4,4
1,4,2,4,4,2,4,2,3
1,3,2,3,3,2,3,1,3
1,3,2,2,2,3,2,2,2
1,4,2,3,3,2,4,2,3
1,3,3,3,3,3,3,3,3
1,3,3,4,4,3,3,3,3
1,3,2,4,4,1,3,3,3
1,3,3,3,3,3,3,2,3
1,4,4,4,4,4,4,2,3
1,4,2,4,4,2,4,3,4
1,4,4,4,4,4,4,4,2
1,4,4,4,4,4,4,4,4
1,3,3,4,4,3,3,2,3
1,4,3,4,4,4,3,3,3
1,3,3,3,3,3,3,3,3
1,3,4,4,4,4,4,4,4
1,4,4,4,4,4,4,4,4
1,4,4,3,4,4,4,2,3
1,3,4,4,4,4,3,4,4
1,3,3,3,3,3,2,3,3
1,4,2,4,3,2,4,4,3
1,3,3,3,3,3,3,3,3
1,4,4,4,4,4,4,4,4
1,3,4,4,3,3,3,3,3
1,3,2,3,3,2,3,3,2
1,3,3,2,3,4,3,3,3
1,1,1,2,1,1,1,1,1
1,3,2,3,3,2,2,2,1
1,3,1,3,2,2,2,2,2
1,3,2,3,3,2,4,3,3
1,3,2,3,3,2,3,3,3
1,3,3,2,3,3,3,3,3
1,3,3,3,3,3,3,3,3
1,3,2,3,3,1,3,1,2
1,2,2,3,2,2,2,2,2
1,2,2,2,2,2,2,1,2
1,3,1,2,3,1,3,1,2
1,4,4,4,4,4,4,4,4
1,2,1,3,2,2,2,1,2
1,3,2,3,3,2,3,2,3
1,3,1,4,3,1,3,1,1
1,3,2,3,3,2,3,2,2
1,4,4,4,3,3,2,3,4
1,3,2,3,3,2,2,2,2
1,4,4,4,4,2,4,4,4
1,4,2,4,4,2,4,2,2
1,2,2,2,2,1,2,2,2
1,3,2,4,4,2,3,2,2
1,3,2,3,3,2,2,2,2
1,3,2,3,2,2,1,2,2
1,3,2,2,3,2,2,2,2
1,3,4,4,3,2,3,4,3
1,3,2,3,3,2,3,3,3
1,2,2,3,3,2,3,2,2
1,1,1,2,1,1,1,1,1
1,3,1,2,2,1,2,2,1
1,3,2,3,3,1,2,1,1
1,2,1,2,1,1,1,1,1
1,1,1,2,1,1,1,1,1
1,3,2,4,3,2,2,2,2
1,2,1,2,1,1,2,1,1
1,3,2,3,3,2,2,2,2
1,1,1,1,2,1,1,1,1
1,3,2,3,3,2,3,2,2
1,1,2,1,1,2,1,1,2
1,3,1,1,2,2,2,2,2
1,1,1,1,1,2,1,1,1
1,3,2,3,3,2,3,1,2
1,1,1,1,1,1,1,1,2
1,4,3,4,4,3,4,3,3
1,2,4,3,1,4,1,3,4
1,3,3,3,3,3,2,3,2
1,4,3,4,4,2,4,2,4
1,3,4,3,3,3,3,1,2
1,2,2,4,4,2,3,4,3
1,1,1,2,2,1,2,2,1
1,1,2,2,2,3,3,1,2
1,3,1,4,4,1,2,1,4
1,4,2,3,3,2,3,2,3
1,2,1,4,2,1,2,1,1
1,3,1,4,3,1,4,2,2
1,4,4,4,4,4,3,4,4
1,4,4,4,4,4,4,4,4
1,3,1,3,3,1,2,2,3
1,3,3,3,3,3,3,3,3
1,4,3,4,4,3,2,3,3
1,2,1,2,3,1,2,1,2
1,4,4,4,4,2,3,3,3
1,3,2,3,3,2,2,2,2
1,3,2,3,3,1,3,2,2
1,4,4,4,4,2,4,4,4
1,4,2,3,3,2,3,2,3
1,2,1,2,2,2,2,2,2
1,3,2,3,3,2,3,1,1
1,2,2,3,2,2,2,2,2
1,3,4,4,3,4,3,1,1
1,2,2,4,3,2,2,2,2
1,3,4,4,4,2,4,2,2
1,4,4,4,4,4,4,4,4
1,4,4,4,4,4,4,4,4
1,3,3,3,3,3,3,2,2
1,3,2,3,3,2,3,2,2
1,4,3,3,2,3,2,3,3
1,1,1,1,1,1,1,1,1
1,3,1,3,3,2,2,2,2
1,3,3,2,3,3,2,3,3
1,3,3,3,3,2,3,2,2
1,3,2,3,2,2,2,1,2
1,4,4,4,4,4,4,4,4
1,4,4,4,4,4,4,4,4
1,3,2,3,3,3,3,2,3
1,4,4,4,4,4,4,4,4
1,4,4,4,4,4,4,4,4
1,3,3,4,3,3,2,2,2
1,4,2,4,4,2,4,2,4
1,4,4,4,4,4,4,2,4
1,4,4,4,4,4,4,4,4
1,3,2,3,2,3,3,2,3
1,3,3,4,4,3,3,3,3
1,2,4,4,2,4,2,2,3
1,4,4,4,4,4,4,2,4
1,3,3,3,3,2,3,3,3
1,4,4,4,4,4,4,4,4
1,1,1,1,1,1,1,1,1
1,3,4,4,4,4,3,3,4
1,2,2,2,2,2,2,2,2
1,4,4,4,4,2,2,2,2
1,2,1,2,1,1,1,1,1
1,4,2,4,3,2,2,2,2
1,2,3,3,3,3,3,3,3
1,1,2,4,2,1,1,1,1
1,3,2,3,2,2,3,3,3
1,2,2,3,2,1,2,1,1
1,4,4,4,4,4,4,4,4
1,2,2,3,2,2,2,2,2
1,4,2,3,3,2,2,2,2
1,2,2,3,2,2,2,2,2
1,4,4,4,4,4,4,4,4
1,3,1,3,3,1,3,1,3
1,2,2,2,2,2,2,2,2
1,3,2,3,3,2,2,2,2
1,3,4,4,4,4,4,4,4
1,1,1,1,1,1,1,1,1
1,3,1,3,3,1,3,1,2
1,2,2,3,2,2,2,2,3
1,3,3,3,3,3,3,3,3
1,4,4,3,2,1,2,1,1
1,3,4,4,4,4,2,4,4
1,2,1,2,2,1,2,1,1
1,3,1,2,1,1,1,1,1
1,3,2,3,3,3,3,2,2
1,3,3,3,3,2,3,3,3
1,2,3,2,3,3,1,3,2
1,4,3,4,4,2,3,3,2
1,3,3,3,1,3,1,1,3
1,4,4,4,4,4,4,4,4
1,4,3,4,4,3,3,3,3
1,3,3,3,3,1,3,2,3
1,3,1,3,3,1,3,1,2
1,2,2,3,3,2,3,2,4
1,3,2,3,4,2,2,2,2
1,2,3,2,3,2,2,2,2
1,3,2,3,3,2,3,2,2
1,2,1,3,2,1,2,1,3
1,4,1,3,4,2,4,1,2
1,4,4,2,4,3,4,4,4
1,3,3,3,3,3,3,3,3
1,4,4,4,4,4,4,4,4
1,3,3,3,3,3,3,3,3
1,3,4,1,2,4,3,2,4
1,3,3,4,4,4,4,4,4
1,3,2,3,3,2,2,2,2
1,4,4,4,4,4,4,4,4
1,4,2,4,4,2,4,2,4
1,3,3,3,3,3,3,3,3
1,4,4,4,4,4,4,4,4
1,4,4,4,4,4,4,4,4
1,3,3,3,3,3,3,3,3
1,3,3,3,3,3,3,3,3
1,4,4,4,4,4,4,4,4
1,3,3,3,3,3,2,2,2
1,4,4,4,4,4,4,4,4
1,3,3,3,3,3,3,3,3
1,2,3,3,3,2,3,2,2
1,4,1,4,4,1,4,2,4
1,3,2,2,2,2,2,2,2
1,4,3,4,3,3,3,3,3
1,2,2,2,2,2,2,2,2
1,3,2,3,3,3,3,2,3
1,3,2,3,2,2,2,1,2
1,3,3,3,3,3,3,3,3
1,2,2,2,1,2,1,1,2
1,4,1,4,4,1,4,2,3
1,2,2,4,2,2,2,2,2
1,2,1,2,2,2,1,1,2
1,4,1,4,1,1,1,3,3
1,3,2,3,3,2,3,2,3
1,3,3,3,3,3,3,3,3
1,4,1,2,3,1,3,1,1
1,4,4,4,4,4,4,2,3
1,4,4,4,4,4,4,4,4
1,3,2,3,2,2,3,2,2
1,3,2,2,2,1,1,2,2
1,3,3,3,3,2,3,3,3
1,3,3,4,3,3,3,3,3
1,2,2,4,2,2,2,2,2
1,3,4,4,3,4,3,4,4
1,2,1,2,2,2,2,2,2
1,3,1,3,3,2,2,1,2
1,3,4,4,4,4,3,2,2
1,2,2,2,2,2,3,2,2
1,2,2,3,3,3,2,2,2
1,4,4,4,4,4,4,4,3
1,3,3,4,2,2,2,2,1
1,3,3,3,3,2,3,3,3
1,3,2,3,2,2,2,2,2
1,3,2,3,3,2,3,3,3
1,2,2,4,4,2,3,2,2
1,2,2,3,3,2,2,2,2
1,4,2,4,4,2,4,2,2
1,2,2,4,2,3,2,2,2
1,3,2,2,2,2,2,2,3
1,2,2,2,1,1,2,1,2
1,3,2,4,4,2,3,1,2
1,3,2,4,3,2,3,3,2
1,3,3,3,2,3,2,2,2
1,4,4,4,4,4,4,4,4
1,3,1,3,3,1,2,2,3
1,3,3,2,2,3,2,2,3
1,1,1,1,1,1,1,1,1
1,3,3,3,3,2,3,2,3
1,1,2,4,3,2,2,2,2
1,3,2,3,3,2,2,2,2
1,3,3,3,2,1,2,2,4
1,999,999,999,999,999,999,999,999
1,2,3,3,2,2,1,2,2
1,3,1,3,3,1,2,1,3
1,4,1,4,4,1,4,4,4
1,3,2,3,3,2,3,2,2
1,2,1,3,3,2,3,2,2
1,2,2,3,2,2,2,2,3
1,3,2,3,3,2,2,2,2
1,3,1,2,2,1,2,1,2
1,3,2,4,4,2,3,2,3
1,3,3,3,3,2,3,3,3
1,2,2,2,2,2,2,2,2
1,4,4,4,4,4,4,4,4
1,3,2,3,3,2,3,3,2
1,4,3,4,4,4,4,4,4
1,3,2,1,3,3,2,2,3
1,4,2,4,3,2,3,2,3
1,2,3,3,3,3,3,3,3
1,4,4,4,4,4,4,4,4
1,3,3,4,4,2,3,2,2
1,1,1,1,1,1,1,1,1
1,4,4,4,4,4,4,4,4
1,4,4,4,4,4,4,4,4
1,3,2,3,3,1,2,2,3
1,4,2,2,2,2,4,2,3
1,3,3,3,3,3,3,3,3
1,3,2,3,3,2,3,3,2
1,4,4,4,4,4,4,4,4
1,2,2,2,2,2,2,2,2
1,3,3,3,3,3,3,2,2
1,3,3,3,3,3,3,3,3
1,3,3,3,3,3,4,4,4
1,4,4,4,4,2,3,2,2
1,3,3,3,3,3,3,3,3
1,2,2,2,2,3,2,2,3
1,3,3,3,3,2,3,2,2
1,2,2,4,4,1,2,2,1
1,3,2,4,3,2,3,2,3
1,3,3,3,3,3,3,3,3
1,4,4,4,4,2,4,4,3
1,4,4,4,4,4,4,4,4
1,3,2,3,3,2,2,2,1
1,4,4,4,4,4,4,4,4
1,3,2,4,4,3,3,3,3
1,3,3,3,3,3,3,3,3
1,3,2,4,4,3,4,4,4
1,3,2,3,3,2,3,2,2
1,4,2,4,4,2,4,2,2
1,3,2,3,3,2,3,3,2
1,4,3,4,4,2,4,3,3
1,2,3,2,2,3,2,2,2
1,3,3,2,3,3,2,2,3
1,3,3,3,2,3,2,3,3
1,3,2,4,4,2,4,4,3
1,2,2,2,2,2,2,2,2
1,2,3,3,2,3,2,3,3
1,2,1,2,1,1,1,1,2
1,3,2,3,3,2,3,2,2
1,4,1,4,2,2,2,2,1
1,2,2,4,3,2,2,2,2
1,3,1,3,3,2,2,4,3
1,2,2,3,3,2,3,3,3
1,3,3,3,3,3,3,3,3
1,2,1,3,3,1,2,1,2
1,3,3,3,3,2,3,2,3
1,4,2,4,3,3,3,3,3
1,2,2,3,2,1,2,1,1
1,3,3,3,3,3,2,3,3
1,3,4,4,4,3,3,3,3
1,4,4,4,4,2,4,3,4
1,2,2,1,1,2,1,2,2
1,2,2,4,3,1,3,3,3
1,4,4,4,4,3,4,4,3
1,2,1,4,1,1,2,1,2
1,4,2,3,3,2,2,2,3
1,1,1,2,1,1,1,1,1
1,1,1,3,1,1,1,1,1
1,3,3,3,3,2,3,2,3
1,3,3,3,3,4,3,4,4
1,2,1,3,2,2,2,2,4
1,2,3,3,3,3,2,2,3
1,3,1,1,1,1,1,1,4
1,4,4,4,4,4,4,4,4
1,3,2,3,3,2,3,2,2
1,2,2,2,2,1,1,1,1
1,4,4,4,3,2,4,2,4
1,3,3,3,3,2,3,3,3
1,2,1,3,2,1,2,1,1
1,3,1,4,4,2,3,2,3
1,3,1,1,2,4,1,2,4
1,3,2,3,2,2,2,1,2
1,2,1,2,2,2,2,2,2
1,3,1,3,3,1,2,2,3
1,3,2,2,3,2,2,1,2
1,4,2,4,4,2,4,3,3
1,1,2,2,1,1,1,2,2
1,4,3,3,3,3,3,3,3
1,3,3,3,3,2,2,3,4
1,2,2,3,3,2,3,2,2
1,3,1,3,2,1,2,1,3
1,1,1,1,1,1,1,1,1
1,3,2,3,3,1,3,1,2
1,3,2,4,4,2,3,2,2
1,3,2,3,3,2,3,2,3
1,3,3,3,3,2,3,2,3
1,3,3,3,3,2,2,2,3
1,2,1,1,1,1,1,1,1
1,3,2,2,3,3,2,2,2
1,3,2,3,3,1,2,1,2
1,3,2,3,3,2,2,3,3
1,2,2,3,1,1,1,2,2
1,2,1,2,1,1,2,2,1
1,2,2,2,2,2,2,2,2
1,4,4,4,4,4,4,4,4
1,3,3,3,3,2,3,2,2
1,4,3,4,4,3,4,4,4
1,3,2,3,3,3,3,2,2
1,2,2,2,2,3,2,2,2
1,4,4,4,4,2,4,4,4
1,3,1,2,2,2,2,2,2
1,3,2,3,3,2,3,3,3
1,3,2,2,2,2,2,4,2
1,4,4,4,4,4,4,3,4
1,2,1,2,2,1,2,2,2
1,3,2,3,3,2,2,2,3
1,4,3,3,3,2,3,2,2
1,4,4,4,4,4,4,4,4
1,3,2,3,4,2,3,3,3
1,1,2,3,2,2,2,2,2
1,2,1,2,2,1,2,2,1
1,4,4,4,4,4,4,4,4
1,2,1,2,2,1,2,1,1
1,2,2,3,2,2,2,2,1
1,3,2,3,2,2,2,2,2
1,3,2,3,3,2,2,2,2
1,4,4,4,4,4,4,4,4
1,1,1,2,2,1,1,1,1
1,1,1,2,1,2,2,1,1
1,3,2,3,3,2,2,2,2
1,4,2,4,4,2,4,2,3
1,2,3,4,3,2,1,3,2
1,3,2,4,3,2,3,2,2
1,3,3,3,4,3,3,4,1
1,3,3,2,3,2,3,2,2
1,2,2,4,3,3,2,2,2
1,3,2,2,3,3,2,2,3
1,3,3,3,3,3,3,3,3
1,3,3,3,3,2,3,3,3
1,4,4,4,4,4,4,3,3
1,3,3,4,2,3,3,2,3
1,2,2,2,2,2,2,2,2
1,4,4,4,4,4,4,4,4
1,3,3,3,3,3,3,2,2
1,4,4,4,4,4,4,4,4
1,4,4,4,4,4,3,4,2
1,3,1,2,2,2,1,1,1
1,2,1,2,2,2,2,2,2
1,3,4,4,3,3,2,4,3
1,4,4,4,4,4,4,4,4
1,4,2,3,4,1,3,1,1
1,3,2,3,3,4,3,2,1
1,4,4,4,4,4,4,4,4
1,3,2,2,3,2,3,2,3
1,2,2,2,1,2,1,1,1
1,3,1,3,2,1,1,1,1
1,4,4,4,4,2,4,2,2
1,3,4,4,4,4,3,3,3
1,2,2,3,3,1,2,2,1
1,4,2,3,3,2,3,1,1
1,2,1,1,1,1,1,1,1
1,1,1,2,2,2,2,2,2
1,3,2,3,3,2,3,2,2
1,1,1,2,1,1,1,1,1
1,4,3,4,4,3,4,3,3
1,1,1,2,1,1,1,1,1
1,1,1,2,2,1,1,1,1
1,3,1,3,2,1,2,1,2
1,3,1,2,3,1,2,1,2
1,3,3,3,3,3,3,3,3
1,4,4,4,4,4,4,4,4
1,2,2,3,3,1,2,2,3
1,3,2,3,3,1,3,2,3
1,4,4,4,4,3,3,4,3
1,2,2,3,2,2,2,2,2
1,2,1,2,2,1,1,1,1
1,3,3,3,3,3,2,3,4
1,1,1,2,1,1,1,1,1
1,1,1,2,1,1,1,1,1
1,1,1,2,2,2,1,2,2
1,3,2,3,2,2,2,2,3
1,4,2,4,4,3,3,3,3
1,3,3,3,3,3,3,3,3
1,2,1,2,3,1,2,1,1
1,2,2,2,2,2,2,2,2
1,3,2,3,2,3,2,3,3
1,2,3,3,3,3,2,3,3
1,4,1,3,3,3,3,1,1
1,3,3,4,4,4,3,3,4
1,3,2,3,2,2,2,2,2
1,4,2,4,4,4,2,2,3
1,3,2,3,3,2,3,2,4
1,4,4,4,4,4,4,4,4
1,4,3,3,3,3,2,3,2
1,3,4,4,4,4,2,3,3
1,2,3,3,3,3,2,2,4
1,3,3,4,4,3,3,3,3
1,3,3,4,4,4,3,3,3
1,3,2,3,3,4,2,2,1
1,4,3,4,4,4,4,4,4
1,4,4,4,4,4,4,4,4
1,3,2,3,3,2,2,3,3
1,2,1,2,2,2,1,1,2
1,3,3,3,3,3,3,3,3
1,3,3,4,4,3,3,3,3
1,2,2,2,1,2,1,2,2
1,2,2,2,2,2,2,2,2
1,2,2,3,3,2,2,2,2
1,4,4,4,4,4,4,4,4
1,2,2,3,2,2,2,2,2
1,4,3,3,3,3,3,3,3
1,4,4,4,4,4,4,4,4
1,2,1,2,2,2,1,1,1
1,2,2,3,3,2,3,2,3
1,2,2,3,2,2,2,2,2
1,2,1,3,2,2,2,2,3
1,3,1,2,3,1,2,2,2
1,3,3,4,4,2,4,3,3
1,4,1,2,2,3,2,2,2
1,3,1,3,2,1,2,1,1
1,4,3,4,4,4,4,4,4
1,2,2,2,1,1,1,1,1
1,3,2,3,3,3,3,2,3
1,3,2,3,2,2,2,2,2
1,1,2,3,2,1,1,3,2
1,4,4,4,4,4,4,4,4
1,4,3,3,4,3,3,2,3
1,2,2,2,2,2,2,2,2
1,3,3,3,3,3,2,3,3
1,3,4,4,4,4,4,3,3
1,4,4,4,4,3,4,4,3
1,4,2,4,4,4,3,3,3
1,4,4,4,4,4,4,4,4
1,4,4,4,4,4,4,4,4
1,4,2,3,4,2,3,3,3
1,3,2,3,3,2,2,2,3
1,4,4,4,4,2,3,2,4
1,2,2,1,2,2,2,2,2
1,3,3,3,3,3,3,3,3
1,4,3,4,4,4,3,3,4
1,4,4,4,4,4,4,4,4
1,3,3,3,3,3,3,3,3
1,3,1,2,3,2,2,2,2
1,3,3,4,4,3,3,2,3
1,4,4,4,4,4,4,4,4
1,3,4,3,3,3,3,3,3
1,4,4,4,4,4,4,4,4
1,2,1,3,2,1,1,1,1
1,3,3,3,3,3,3,3,3
1,4,2,4,4,2,4,4,2
1,3,3,2,2,1,2,2,2
1,2,3,4,4,4,2,4,2
1,1,1,2,2,1,2,2,1
1,3,2,3,3,2,2,2,2
1,1,1,2,1,1,1,1,1
1,2,2,2,3,1,2,2,2
1,4,3,4,4,2,3,3,4
1,3,1,2,2,1,2,2,2
1,3,2,1,3,1,3,2,3
1,3,3,4,4,2,3,3,4
1,3,2,3,3,2,3,2,2
1,2,3,2,2,3,2,3,2
1,3,3,3,3,2,3,3,3
1,1,1,1,1,1,1,1,1
1,2,2,4,3,2,3,2,2
1,3,2,4,3,2,3,2,3
1,1,2,2,2,2,1,1,1
1,2,1,2,3,2,2,2,2
1,4,2,3,3,2,3,2,3
1,2,2,3,3,3,3,2,3
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,2,1,2,2,1,1,1,1
1,3,3,3,3,3,2,3,2
1,2,2,3,2,1,2,2,2
1,3,3,3,3,3,3,2,2
1,2,2,2,2,2,2,2,2
1,3,3,3,4,3,4,2,3
1,2,1,2,2,2,2,1,1
1,3,3,3,3,2,3,3,3
1,2,2,3,3,2,2,2,2
1,4,4,4,4,4,4,4,4
1,3,2,3,3,2,2,2,2
1,3,3,3,3,2,3,2,3
1,3,3,4,4,4,3,3,2
1,4,3,4,4,2,4,2,3
1,4,3,4,4,3,4,4,4
1,3,3,3,3,3,3,3,3
1,3,3,3,3,3,3,3,3
1,3,2,3,3,2,2,2,2
1,3,3,2,3,2,2,3,2
1,3,1,1,1,3,1,1,2
1,2,2,3,2,2,2,2,2
1,2,1,3,2,2,2,2,2
1,3,3,2,2,3,2,2,2
1,3,3,3,2,2,3,3,3
1,3,2,3,3,2,3,2,3
1,4,3,2,3,4,3,2,3
1,1,2,2,1,1,2,1,2
1,3,4,2,2,3,2,3,4
1,2,2,3,2,1,2,1,2
1,4,3,4,4,2,3,2,2
1,2,1,2,2,1,2,1,1
1,3,2,3,2,2,2,2,2
1,2,2,3,3,2,2,2,2
1,2,3,2,3,2,3,3,3
1,2,1,3,3,1,3,1,1
1,1,1,1,1,1,1,2,2
1,3,3,3,2,3,2,1,2
1,3,1,3,2,1,2,2,2
1,1,1,2,2,2,1,1,2
1,3,3,3,1,1,2,1,1
1,2,2,3,2,2,2,2,2
1,1,1,3,1,1,1,1,2
1,2,1,2,2,1,2,1,1
1,2,3,2,2,2,1,2,3
1,2,2,3,3,2,2,2,2
1,4,2,3,2,2,3,1,1
1,4,2,3,3,2,3,1,1
1,3,2,3,2,2,2,1,2
1,1,1,2,1,1,1,1,1
1,4,1,4,3,1,4,1,1
1,3,2,3,3,2,2,2,2
1,2,2,3,2,2,1,2,2
1,4,4,4,4,4,4,4,4
1,3,3,3,3,3,2,2,3
1,3,4,4,3,2,2,3,3
1,3,3,3,3,3,3,3,3
1,3,3,4,4,4,3,3,3
1,3,2,3,2,3,2,2,3
1,3,1,3,3,1,2,1,1
1,3,3,3,3,3,3,2,3
1,4,4,4,4,4,4,4,4
1,3,3,4,4,2,3,3,3
1,4,2,3,3,2,3,2,3
1,4,4,4,4,4,4,4,4
1,3,3,3,3,2,3,1,2
1,2,3,3,2,2,2,2,2
1,3,3,3,3,3,3,3,3
1,2,2,3,3,2,2,2,2
1,4,4,4,4,4,4,3,4
1,2,2,3,3,2,2,2,3
1,3,3,4,4,2,3,3,4
1,4,3,3,3,2,3,3,3
1,2,2,3,3,2,2,2,2
1,3,2,3,2,2,2,2,2
1,3,3,3,4,4,2,2,3
1,2,2,2,2,2,1,1,3
1,3,2,3,2,2,2,2,2
1,3,3,3,4,2,2,3,2
1,3,2,4,4,2,4,3,3
1,2,3,3,3,2,2,2,2
1,3,2,3,3,2,2,2,2
1,4,2,4,4,2,4,4,3
1,4,4,4,4,4,4,4,4
1,3,2,3,3,2,3,2,2
1,4,3,4,4,3,2,3,4
1,3,2,4,3,2,2,2,3
1,3,2,3,3,2,2,1,1
1,3,3,3,3,2,3,2,3
1,4,3,3,3,3,3,3,3
1,4,4,4,4,4,3,4,4
1,4,2,3,4,2,3,3,1
1,3,2,3,3,2,3,2,3
1,3,3,3,3,3,3,3,3
1,2,2,2,1,3,1,2,2
1,3,2,3,3,2,3,2,2
1,3,2,3,3,2,2,2,2
1,3,3,3,3,3,3,3,3
1,3,3,3,3,3,3,3,3
1,3,2,3,3,2,2,2,2
